;again;party1;party2;year1;loyal;switch;minor1;switchMiMa;switchMiMi;switchMaMa;switchMaMi;new2
1;KuûÌlek Old¯ich;ODA;ODA;1992;1;0;0;0;0;0;0;0
2;Odehnal Martin;ODA;ODA;1992;1;0;0;0;0;0;0;0
3;Mirka VladimÌr;ODA;ODA;1992;1;0;0;0;0;0;0;0
4;Topinka Petr;ODA;ODA;1992;1;0;0;0;0;0;0;0
5;KratochvÌl Miloslav;ODA;ODA;1992;1;0;0;0;0;0;0;0
6;Cirnfus SlavomÌr;ODA;ODA;1992;1;0;0;0;0;0;0;0
7;Mizerov· Ivana;ODA;ODA;1992;1;0;0;0;0;0;0;0
8;Dobal Viktor;ODA;ODA;1992;1;0;0;0;0;0;0;0
9;Knob Vilibald;ODA;ODA;1992;1;0;0;0;0;0;0;0
10;»eöka Roman;ODA;ODA;1992;1;0;0;0;0;0;0;0
11;Bl·hovec Ji¯Ì;ODA;ODA;1992;1;0;0;0;0;0;0;0
12;»erb·k Miroslav;ODA;ODA;1992;1;0;0;0;0;0;0;0
13;Kafka Jan;ODA;ODA;1992;1;0;0;0;0;0;0;0
14;Ch·b Milan;ODA;ODA;1992;1;0;0;0;0;0;0;0
15;Ledvinka Karel;ODA;ODA;1992;1;0;0;0;0;0;0;0
16;Kulka Duöan;ODA;ODA;1992;1;0;0;0;0;0;0;0
17;DoskoËil Jan;ODA;ODA;1992;1;0;0;0;0;0;0;0
18;N˝Ëov· VÌtÏzslava;ODA;ODA;1992;1;0;0;0;0;0;0;0
19;Roudnick· Ji¯ina;ODA;ODA;1992;1;0;0;0;0;0;0;0
20;KynËl Milan;ODA;ODA;1992;1;0;0;0;0;0;0;0
21;Kamaryt Josef;ODA;ODA;1992;1;0;0;0;0;0;0;0
22;Lojdov· Kate¯ina;ODA;ODA;1992;1;0;0;0;0;0;0;0
23;MenöÌk Karel;ODA;ODA;1992;1;0;0;0;0;0;0;0
24;Trojan ZdenÏk;»SSD;»SSD;1992;1;0;0;0;0;0;0;0
25;Gross Stanislav;»SSD;»SSD;1992;1;0;0;0;0;0;0;0
26;HavlÌËek Ivan;»SSD;»SSD;1992;1;0;0;0;0;0;0;0
27;Volfov· Jana;»SSD;»SSD;1992;1;0;0;0;0;0;0;0
28;TomËÌk Jan;»SSD;»SSD;1992;1;0;0;0;0;0;0;0
29;GubÌn Oleg;»SSD;»SSD;1992;1;0;0;0;0;0;0;0
30;V˝rut Karel;»SSD;»SSD;1992;1;0;0;0;0;0;0;0
31;MaÚ·sek Jaroslav;»SSD;»SSD;1992;1;0;0;0;0;0;0;0
32;P·cha Old¯ich;»SSD;»SSD;1992;1;0;0;0;0;0;0;0
33;Valeck˝ Miroslav;»SSD;»SSD;1992;1;0;0;0;0;0;0;0
34;Zeman Eduard;»SSD;»SSD;1992;1;0;0;0;0;0;0;0
35;Pr˘öa Ji¯Ì;»SSD;»SSD;1992;1;0;0;0;0;0;0;0
36;BroûÌk Frantiöek;»SSD;»SSD;1992;1;0;0;0;0;0;0;0
37;Pr˘öa Josef;»SSD;»SSD;1992;1;0;0;0;0;0;0;0
38;Straka Jaroslav;»SSD;»SSD;1992;1;0;0;0;0;0;0;0
39;MatÏcha Miroslav;»SSD;»SSD;1992;1;0;0;0;0;0;0;0
40;Foldyna Jaroslav;»SSD;»SSD;1992;1;0;0;0;0;0;0;0
41;FarmaËka Jaroslav;»SSD;»SSD;1992;1;0;0;0;0;0;0;0
42;»evela Rostislav;»SSD;»SSD;1992;1;0;0;0;0;0;0;0
43;Novotn˝ Milan;»SSD;»SSD;1992;1;0;0;0;0;0;0;0
44;B¯ezina Ji¯Ì;»SSD;»SSD;1992;1;0;0;0;0;0;0;0
45;Grulich V·clav;»SSD;»SSD;1992;1;0;0;0;0;0;0;0
46;äkromach ZdenÏk;»SSD;»SSD;1992;1;0;0;0;0;0;0;0
47;Jaöek Pavel;»SSD;»SSD;1992;1;0;0;0;0;0;0;0
48;VymÏtal VojtÏch;»SSD;»SSD;1992;1;0;0;0;0;0;0;0
49;Kinzel Ivan;»SSD;»SSD;1992;1;0;0;0;0;0;0;0
50;V·clavek Ji¯Ì;»SSD;»SSD;1992;1;0;0;0;0;0;0;0
51;Pr·öek Ji¯Ì;»SSD;»SSD;1992;1;0;0;0;0;0;0;0
52;Vetch˝ VladimÌr;»SSD;»SSD;1992;1;0;0;0;0;0;0;0
53;Fischerov· Eva;»SSD;»SSD;1992;1;0;0;0;0;0;0;0
54;KoöÌk LubomÌr;»SSD;»SSD;1992;1;0;0;0;0;0;0;0
55;K¯eËek Stanislav;HSD-SMS;»SSD;1992;0;1;0;0;0;1;0;0
56;Kmenta Josef;HSD-SMS;CAO;1992;0;1;0;0;0;0;1;1
57;Brech Petr;HSD-SMS;LB;1992;0;1;0;0;0;0;1;1
58;Kraus Michal;HSD-SMS;»SSD;1992;0;1;0;0;0;1;0;0
59;Pol·ch Jan;HSD-SMS;SDL;1992;0;1;0;0;0;0;1;1
60;SkoËovsk˝ Miloö;HSD-SMS;»MUS;1992;0;1;0;0;0;0;1;1
61;Jegla Jan;HSD-SMS;»MUS;1992;0;1;0;0;0;0;1;1
62;Kavan Petr;HSD-SMS;HSMSMNSJ;1992;0;1;0;0;0;0;1;1
63;ätambera Dalibor;HSD-SMS;»MUS;1992;0;1;0;0;0;0;1;1
64;DoËkal VÌtÏzslav;HSD-SMS;HSMSMNSJ;1992;0;1;0;0;0;0;1;1
65;KatrÚ·k Josef;HSD-SMS;MNS-HSS;1992;0;1;0;0;0;0;1;1
66;Dresler Rudolf;HSD-SMS;HSMSMNSJ;1992;0;1;0;0;0;0;1;1
67;éemla Jaroslav;HSD-SMS;»MUS;1992;0;1;0;0;0;0;1;1
68;Rudinsk˝ Frantiöek;HSD-SMS;HSMSMNSJ;1992;0;1;0;0;0;0;1;1
69;Opat¯il Rudolf;HSD-SMS;»MUS;1992;0;1;0;0;0;0;1;1
70;KaËenka Frantiöek;HSD-SMS;»MUS;1992;0;1;0;0;0;0;1;1
71;BroulÌk Jaroslav;HSD-SMS;»MUS;1992;0;1;0;0;0;0;1;1
72;Hubov· Marta;HSD-SMS;ODA;1992;0;1;0;0;0;1;0;0
73;KolomaznÌk Karel;HSD-SMS;»MUS;1992;0;1;0;0;0;0;1;1
74;Alt VladimÌr;HSD-SMS;»MUS;1992;0;1;0;0;0;0;1;1
75;KonÌËek Josef;HDéJ;DéJ;1992;1;0;1;0;0;0;0;0
76;Malkovsk· ZdeÚka;HDéJ;DéJ;1992;1;0;1;0;0;0;0;0
77;Pauer Jaroslav;NSS-»SNS;SD-LSNS;1992;0;1;1;0;1;0;0;1
78;Suöick˝ Ji¯Ì;NSS-»SNS;PB;1992;0;1;1;0;1;0;0;1
79;Kyli·n Josef;NSS-»SNS;ODA;1992;0;1;1;1;0;0;0;0
80;Ruprich VÌt;D92;ODA;1992;0;1;1;1;0;0;0;0
81;Zem·nek Richard;SRNDJ;DEU;1992;0;1;1;0;1;0;0;1
82;Decker Jan;KDU-»SL;KDU-»SL;1992;1;0;0;0;0;0;0;0
83;JaneËek Josef;KDU-»SL;KDU-»SL;1992;1;0;0;0;0;0;0;0
84;Strnadel Tom·ö;KDU-»SL;KDU-»SL;1992;1;0;0;0;0;0;0;0
85;Sova Karel;KDU-»SL;KDU-»SL;1992;1;0;0;0;0;0;0;0
86;Blaûek Ji¯Ì;KDU-»SL;KDU-»SL;1992;1;0;0;0;0;0;0;0
87;B¯ich·Ëek Petr;KDU-»SL;KDU-»SL;1992;1;0;0;0;0;0;0;0
88;Volenec V·clav;KDU-»SL;KDU-»SL;1992;1;0;0;0;0;0;0;0
89;H·jek Milan;KDU-»SL;KDU-»SL;1992;1;0;0;0;0;0;0;0
90;Pl·niËka Pavel;KDU-»SL;KDU-»SL;1992;1;0;0;0;0;0;0;0
91;M·lek Ji¯Ì;KDU-»SL;KDU-»SL;1992;1;0;0;0;0;0;0;0
92;Bureö Jan;KDU-»SL;KDU-»SL;1992;1;0;0;0;0;0;0;0
93;V˝born˝ Miloslav;KDU-»SL;KDU-»SL;1992;1;0;0;0;0;0;0;0
94;Severa Pavel;KDU-»SL;KDU-»SL;1992;1;0;0;0;0;0;0;0
95;M·lek Jan;KDU-»SL;KDU-»SL;1992;1;0;0;0;0;0;0;0
96;Bedn·¯ Josef;KDU-»SL;KDU-»SL;1992;1;0;0;0;0;0;0;0
97;Filip ZdenÏk;KDU-»SL;KDU-»SL;1992;1;0;0;0;0;0;0;0
98;Kasal Jan;KDU-»SL;KDU-»SL;1992;1;0;0;0;0;0;0;0
99;Karas Ji¯Ì;KDU-»SL;KDU-»SL;1992;1;0;0;0;0;0;0;0
100;BÏlehr·dek Stanislav;KDU-»SL;KDU-»SL;1992;1;0;0;0;0;0;0;0
101;U¯iË·¯ Ji¯Ì;KDU-»SL;KDU-»SL;1992;1;0;0;0;0;0;0;0
102;HavÌ¯ Frantiöek;KDU-»SL;KDU-»SL;1992;1;0;0;0;0;0;0;0
103;Kub·t Miloslav;KDU-»SL;KDU-»SL;1992;1;0;0;0;0;0;0;0
104;Nedomansk˝ Leopold;KDU-»SL;KDU-»SL;1992;1;0;0;0;0;0;0;0
105;Ambrozek Libor;KDU-»SL;KDU-»SL;1992;1;0;0;0;0;0;0;0
106;Kr·kora Ji¯Ì;KDU-»SL;KDU-»SL;1992;1;0;0;0;0;0;0;0
107;Mach Bed¯ich;KDU-»SL;KDU-»SL;1992;1;0;0;0;0;0;0;0
108;Kubiö Josef;KDU-»SL;KDU-»SL;1992;1;0;0;0;0;0;0;0
109;BrenÌk Jan;KDU-»SL;KDU-»SL;1992;1;0;0;0;0;0;0;0
110;Proch·zka VladimÌr;KDU-»SL;KDU-»SL;1992;1;0;0;0;0;0;0;0
111;M·dr Rostislav;KDU-»SL;KDU-»SL;1992;1;0;0;0;0;0;0;0
112;JanËar Ji¯Ì;KDU-»SL;KDU-»SL;1992;1;0;0;0;0;0;0;0
113;Vyslouûil Karel;KDU-»SL;ODA;1992;0;1;0;0;0;1;0;0
114;HanzlÌk Tom·ö;KDU-»SL;KDU-»SL;1992;1;0;0;0;0;0;0;0
115;Huta¯ Jan;HSS;»MUS;1992;0;1;1;0;1;0;0;1
116;Kadlec ZdenÏk;HSS;LB;1992;0;1;1;0;1;0;0;1
117;Kozmon Alad·r;HSS;CAO;1992;0;1;1;0;1;0;0;1
118;Sk¯ebsk˝ Miloslav;HSS;MNS-HSS;1992;0;1;1;0;1;0;0;1
119;V·lek Karel;HSS;»MUS;1992;0;1;1;0;1;0;0;1
120;Sp·Ëil Jaroslav;HSS;MNS-HSS;1992;0;1;1;0;1;0;0;1
121;Hirö Pavel;LSU;ODS;1992;0;1;0;0;0;1;0;0
122;Bodenlos Vav¯inec;LSU;SD-LSNS;1992;0;1;0;0;0;0;1;1
123;Ma¯Ìk Miroslav;LSU;SZ;1992;0;1;0;0;0;0;1;1
124;Vyvadil Ji¯Ì;LSU;»SSD;1992;0;1;0;0;0;1;0;0
125;S˝kora Jaroslav;LSU;»MUS;1992;0;1;0;0;0;0;1;1
126;Dvo¯·k Miroslav;LSU;»MUS;1992;0;1;0;0;0;0;1;1
127;Vydra Josef;LSU;»SSD;1992;0;1;0;0;0;1;0;0
128;HolubiËka Jaroslav;LSU;»MUS;1992;0;1;0;0;0;0;1;1
129;VaËk·¯ Ji¯Ì;LSU;KDU-»SL;1992;0;1;0;0;0;1;0;0
130;Tichava Vlastimil;LSU;SD-LSNS;1992;0;1;0;0;0;0;1;1
131;Kadlec Milan;LSU;SZ;1992;0;1;0;0;0;0;1;1
132;BezdÏkovsk˝ VladimÌr;LSU;»MUS;1992;0;1;0;0;0;0;1;1
133;Langov· Milena;LSU;»MUS;1992;0;1;0;0;0;0;1;1
134;Kadubec Ji¯Ì;LSU;SZ;1992;0;1;0;0;0;0;1;1
135;R˘ûiËka Ji¯Ì;LSU;SZ;1992;0;1;0;0;0;0;1;1
136;PospÌöil Rudolf;LSU;SD-LSNS;1992;0;1;0;0;0;0;1;1
137;Tom·öek Jan;LSU;»MUS;1992;0;1;0;0;0;0;1;1
138;Pohlov· Marta;LSU;SZ;1992;0;1;0;0;0;0;1;1
139;VÌöek Josef;LSU;»MUS;1992;0;1;0;0;0;0;1;1
140;Sommer Jaroslav;LSU;»MUS;1992;0;1;0;0;0;0;1;1
141;Bachr Ji¯Ì;LSU;SZ;1992;0;1;0;0;0;0;1;1
142;Hej·tko Jaroslav;LSU;»MUS;1992;0;1;0;0;0;0;1;1
143;Nekvapil Josef;LSU;SZ;1992;0;1;0;0;0;0;1;1
144;Havelka Frantiöek;LSU;»MUS;1992;0;1;0;0;0;0;1;1
145;Radil V·clav;LSU;SD-LSNS;1992;0;1;0;0;0;0;1;1
146;Hronov· Marie;LSU;SZ;1992;0;1;0;0;0;0;1;1
147;Melichar VladimÌr;LSU;SD-LSNS;1992;0;1;0;0;0;0;1;1
148;KalÌk Jind¯ich;LSU;ODA;1992;0;1;0;0;0;1;0;0
149;Vainar Rostislav;LSU;»MUS;1992;0;1;0;0;0;0;1;1
150;Dienstbier Ond¯ej;OH;SD-LSNS;1992;0;1;1;0;1;0;0;1
151;Hanuö Miloslav;OH;SD-LSNS;1992;0;1;1;0;1;0;0;1
152;Forman Petr;OH;ODA;1992;0;1;1;1;0;0;0;0
153;Kasalick˝ Ivan;OH;SD-LSNS;1992;0;1;1;0;1;0;0;1
154;Schov·nek Pavel;OH;SD-LSNS;1992;0;1;1;0;1;0;0;1
155;Bub·k Ji¯Ì;OH;SD-LSNS;1992;0;1;1;0;1;0;0;1
156;Lasovsk˝ Petr;OH;SD-LSNS;1992;0;1;1;0;1;0;0;1
157;HudeËek Karel;OH;SD-LSNS;1992;0;1;1;0;1;0;0;1
158;LÌbal VladimÌr;OH;SD-LSNS;1992;0;1;1;0;1;0;0;1
159;Lerch Jan;OH;SD-LSNS;1992;0;1;1;0;1;0;0;1
160;H·jek Josef;OH;SD-LSNS;1992;0;1;1;0;1;0;0;1
161;Ulahel Frantiöek;OH;SD-LSNS;1992;0;1;1;0;1;0;0;1
162;NoûiËka V·clav;OH;SD-LSNS;1992;0;1;1;0;1;0;0;1
163;Koz·nek Petr;OH;SD-LSNS;1992;0;1;1;0;1;0;0;1
164;Holomek Karel;OH;SD-LSNS;1992;0;1;1;0;1;0;0;1
165;ätÏrba Miloslav;OH;SD-LSNS;1992;0;1;1;0;1;0;0;1
166;Svobodov· Eva;OH;SD-LSNS;1992;0;1;1;0;1;0;0;1
167;NeËas Josef;OH;SD-LSNS;1992;0;1;1;0;1;0;0;1
168;Straka Miloslav;OH;ODA;1992;0;1;1;1;0;0;0;0
169;BÌlek Frantiöek;OH;SD-LSNS;1992;0;1;1;0;1;0;0;1
170;Pokorn˝ Ivan;OH;SD-LSNS;1992;0;1;1;0;1;0;0;1
171;Zlatuöka Ji¯Ì;OH;SD-LSNS;1992;0;1;1;0;1;0;0;1
172;Trnka Frantiöek;OH;SD-LSNS;1992;0;1;1;0;1;0;0;1
173;Siuda AntonÌn;OH;»SSD;1992;0;1;1;1;0;0;0;0
174;S˝kora Milan;OH;SD-LSNS;1992;0;1;1;0;1;0;0;1
175;Horniöer Ivan;OH;SD-LSNS;1992;0;1;1;0;1;0;0;1
176;äaf·¯ Frantiöek;OH;DEU;1992;0;1;1;0;1;0;0;1
177;Zaor·lek LubomÌr;OH;»SSD;1992;0;1;1;1;0;0;0;0
178;Krampera ZdenÏk;SPR-RS»;SPR-RS»;1992;1;0;0;0;0;0;0;0
179;äoler Ji¯Ì;SPR-RS»;CAO;1992;0;1;0;0;0;0;1;1
180;Ciplov· Marcela;SPR-RS»;SPR-RS»;1992;1;0;0;0;0;0;0;0
181;Valach VÌtÏzslav;SPR-RS»;»MUS;1992;0;1;0;0;0;0;1;1
182;Vik Jan;SPR-RS»;SPR-RS»;1992;1;0;0;0;0;0;1;0
183;Kaöp·rek Miroslav;SPR-RS»;NEZ;1992;0;1;0;0;0;0;1;1
184;Tal·öek Frantiöek;SPR-RS»;SPR-RS»;1992;1;0;0;0;0;0;0;0
185;Kraus Pavel;KAN;DEU;1992;0;1;1;0;1;0;0;1
186;Pokorn· Ivanka;KAN;DEU;1992;0;1;1;0;1;0;0;1
187;Gajdorus Miloslav;KAN;DEU;1992;0;1;1;0;1;0;0;1
188;Ors·g Frantiöek;KAN;DEU;1992;0;1;1;0;1;0;0;1
189;Pavelka Ji¯Ì;KAN;ODS;1992;0;1;1;1;0;0;0;0
190;Zbo¯il ZdenÏk;KAN;DEU;1992;0;1;1;0;1;0;0;1
191;Stiborov· Marie;LB (KS»M);LB;1992;0;1;0;0;0;0;1;1
192;Exner V·clav;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
193;VorlÌËek ZdenÏk;LB (KS»M);LB;1992;0;1;0;0;0;0;1;1
194;Papeû V·clav;LB (KS»M);S»K;1992;0;1;0;0;0;0;1;1
195;J˘n Ji¯Ì;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
196;VÏrtel·¯ V·clav;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
197;Franzlov· Olga;LB (KS»M);LB;1992;0;1;0;0;0;0;1;1
198;Dolejö Ji¯Ì;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
199;»apka Cyril;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
200;Silber RadomÌr;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
201;Zeman Jan;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
202;Ortman Jaroslav;LB (KS»M);LB;1992;0;1;0;0;0;0;1;1
203;Frank V·clav;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
204;GrospiË Stanislav;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
205;Duras Jaroslav;LB (KS»M);LB;1992;0;1;0;0;0;0;1;1
206;Jir·k Jaroslav;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
207;Sk·la Karel;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
208;Bumbov· Stanislava;LB (KS»M);LB;1992;0;1;0;0;0;0;1;1
209;Pacourkov· Vlasta;LB (KS»M);SDL;1992;0;1;0;0;0;0;1;1
210;KlÌma Josef;LB (KS»M);SDL;1992;0;1;0;0;0;0;1;1
211;Ryzka Ji¯Ì;LB (KS»M);SDL;1992;0;1;0;0;0;0;1;1
212;Hrbkov· Olga;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
213;Maryt Ji¯Ì;LB (KS»M);LB;1992;0;1;0;0;0;0;1;1
214;Lagov· Hana;LB (KS»M);LB;1992;0;1;0;0;0;0;1;1
215;V·chalov· Anna;LB (KS»M);LB;1992;0;1;0;0;0;0;1;1
216;Podlipsk˝ Frantiöek;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
217;V·clav Josef;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
218;»eliöov· KvÏtoslava;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
219;»apek Miroslav;LB (KS»M);LB;1992;0;1;0;0;0;0;1;1
220;Chudoba Martin;LB (KS»M);LB;1992;0;1;0;0;0;0;1;1
221;éiûka Jaroslav;LB (KS»M);LB;1992;0;1;0;0;0;0;1;1
222;Brynychov· Ludmila;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
223;Maixner Frantiöek;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
224;MachaÚ Old¯ich;LB (KS»M);SDL;1992;0;1;0;0;0;0;1;1
225;MajerËÌn Josef;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
226;HornÌk Jind¯ich;LB (KS»M);LB;1992;0;1;0;0;0;0;1;1
227;Burger Michal;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
228;äÌnov· Dana;LB (KS»M);SDL;1992;0;1;0;0;0;0;1;1
229;Bern·öek Jind¯ich;LB (KS»M);S»K;1992;0;1;0;0;0;0;1;1
230;Kysela Jan;LB (KS»M);S»K;1992;0;1;0;0;0;0;1;1
231;ätrait Jaroslav RS;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
232;MandÌk Josef;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
233;Svobodov· Alena;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
234;KutÌlek Jan;LB (KS»M);LB;1992;0;1;0;0;0;0;1;1
235;Zelinka Libor;LB (KS»M);LB;1992;0;1;0;0;0;0;1;1
236;Snopek V·clav;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
237;HrazdÌra AntonÌn;LB (KS»M);LB;1992;0;1;0;0;0;0;1;1
238;»undrle V·clav;LB (KS»M);LB;1992;0;1;0;0;0;0;1;1
239;»ech·k VojtÏch;LB (KS»M);LB;1992;0;1;0;0;0;0;1;1
240;Matulka Dalibor;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
241;Navr·til Jan;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
242;Kov·Ëik Pavel;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
243;Struökov· Marta;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
244;Boh·Ëkov· Ludmila;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
245;Lev·k Leopold;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
246;Han·k Pavel;LB (KS»M);LB;1992;0;1;0;0;0;0;1;1
247;äaur VladimÌr;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
248;B˝Ëek Ladislav;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
249;ävec Ji¯Ì;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
250;Videck˝ Jaroslav;LB (KS»M);SDL;1992;0;1;0;0;0;0;1;1
251;Kleibl Ji¯Ì;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
252;MachalÌk Ji¯Ì;LB (KS»M);LB;1992;0;1;0;0;0;0;1;1
253;Soural Jaroslav;LB (KS»M);LB;1992;0;1;0;0;0;0;1;1
254;Palas Jaroslav;LB (KS»M);»SSD;1992;0;1;0;0;0;1;0;0
255;KluËka V·clav;LB (KS»M);LB;1992;0;1;0;0;0;0;1;1
256;Kucha¯ Vlastislav;LB (KS»M);LB;1992;0;1;0;0;0;0;1;1
257;äkodov· VilemÌna;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
258;Hanzelkov· Helena;LB (KS»M);LB;1992;0;1;0;0;0;0;1;1
259;RumpÌkov· Eva;LB (KS»M);LB;1992;0;1;0;0;0;0;1;1
260;Such˝ Frantiöek;LB (KS»M);SDL;1992;0;1;0;0;0;0;1;1
261;Laga Petr;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
262;Petr·ö AntonÌn;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
263;Kruöina Jaroslav;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
264;Cardov· Jaroslava;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
265;Gajd·Ëek Petr;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
266;Hoö VladimÌr;LB (KS»M);KS»M;1992;0;1;0;0;0;1;0;1
267;Bureö Eduard;ODS/KDS;ODS;1992;1;0;0;0;0;0;0;0
268;KlÌma Ji¯Ì;ODS/KDS;ODS;1992;1;0;0;0;0;0;0;0
269;Tlust˝ Vlastimil;ODS/KDS;ODS;1992;1;0;0;0;0;0;0;0
270;»ern˝ Jan;ODS/KDS;ODS;1992;1;0;0;0;0;0;0;0
271;Benda Marek;ODS/KDS;ODS;1992;1;0;0;0;0;0;0;0
272;Kouck˝ Jan;ODS/KDS;ODS;1992;1;0;0;0;0;0;0;0
273;Kr·sa V·clav;ODS/KDS;ODS;1992;1;0;0;0;0;0;0;0
274;Klas Jan;ODS/KDS;ODS;1992;1;0;0;0;0;0;0;0
275;Lobkowicz Michal;ODS/KDS;ODS;1992;1;0;0;0;0;0;0;0
276;Trojan V·clav;ODS/KDS;ODS;1992;1;0;0;0;0;0;0;0
277;Peöek Pavel;ODS/KDS;ODS;1992;1;0;0;0;0;0;0;0
278;Bejlek Jan;ODS/KDS;ODS;1992;1;0;0;0;0;0;0;0
279;Valut Frantiöek;ODS/KDS;ODS;1992;1;0;0;0;0;0;0;0
280;Rˆschov· Anna;ODS/KDS;ODS;1992;1;0;0;0;0;0;0;0
281;PeËenka AntonÌn;ODS/KDS;ODS;1992;1;0;0;0;0;0;0;0
282;»erm·k Petr;ODS/KDS;ODS;1992;1;0;0;0;0;0;0;0
283;Haringer Ji¯Ì;ODS/KDS;KDU-»SL;1992;0;1;0;0;0;1;0;0
284;MandelÌk Richard;ODS/KDS;ODS;1992;1;0;0;0;0;0;0;0
285;Melichar Jaroslav;ODS/KDS;ODS;1992;1;0;0;0;0;0;0;0
286;Brodsk˝ Karel;ODS/KDS;ODS;1992;1;0;0;0;0;0;0;0
287;Kozel Frantiöek;ODS/KDS;ODS;1992;1;0;0;0;0;0;0;0
288;Luk·ö VÏnceslav;ODS/KDS;KDU-»SL;1992;0;1;0;0;0;1;0;0
289;Honajzer Ji¯Ì;ODS/KDS;ODS;1992;1;0;0;0;0;0;0;0
290;Tollner Pavel;ODS/KDS;KDU-»SL;1992;0;1;0;0;0;1;0;0
291;Fejfar Tom·ö;ODS/KDS;ODS;1992;1;0;0;0;0;0;0;0
292;Syka Martin;ODS/KDS;ODS;1992;1;0;0;0;0;0;0;0
293;Kol·¯ Robert;ODS/KDS;ODS;1992;1;0;0;0;0;0;0;0
294;ZahradnÌËek Jan;ODS/KDS;KDU-»SL;1992;0;1;0;0;0;1;0;0
295;Matyskov· VÏra;ODS/KDS;ODS;1992;1;0;0;0;0;0;0;0
296;Nejezchleb Karel;ODS/KDS;ODS;1992;1;0;0;0;0;0;0;0
297;Tomek Ji¯Ì;ODS/KDS;ODS;1992;1;0;0;0;0;0;0;0
298;Ba¯inka Vlastimil;ODS/KDS;ODS;1992;1;0;0;0;0;0;0;0
299;Nov·k Ji¯Ì;ODS/KDS;ODS;1992;1;0;0;0;0;0;0;0
300;PavlÌkov· Ji¯ina;ODS/KDS;ODS;1992;1;0;0;0;0;0;0;0
301;Ullmann Josef;ODS/KDS;ODS;1992;1;0;0;0;0;0;0;0
302;Maöek Ivan;ODA;ODA;1992;1;0;0;0;0;0;0;0
303;äpaËek Radim;ODA;ODA;1992;1;0;0;0;0;0;0;0
304;Kalvoda Jan;ODA;ODA;1992;1;0;0;0;0;0;0;0
305;Vondrouö Jan;ODA;ODA;1992;1;0;0;0;0;0;0;0
306;Troup ZdenÏk;ODA;ODA;1992;1;0;0;0;0;0;0;0
307;Kotek Ji¯Ì;ODA;ODA;1992;1;0;0;0;0;0;0;0
308;Mich·lek Martin;ODA;ODA;1992;1;0;0;0;0;0;0;0
309;»ern˝ Milan;ODA;SPR-RS»;1992;0;1;0;0;0;1;0;0
310;DolejöÌ Stanislava;ODA;ODA;1992;1;0;0;0;0;0;0;0
311;BakalÌkov· L˝die;ODA;ODA;1992;1;0;0;0;0;0;0;0
312;»ern· Milada;ODA;ODA;1992;1;0;0;0;0;0;0;0
313;Hofhanzl »estmÌr;ODA;ODA;1992;1;0;0;0;0;0;0;0
314;Veleba Lubor;ODA;ODA;1992;1;0;0;0;0;0;0;0
315;Studen˝ Miroslav;ODA;ODA;1992;1;0;0;0;0;0;0;0
316;Kysel˝ Josef;ODA;ODA;1992;1;0;0;0;0;0;0;0
317;Machovec Karel;»SSD;»SSD;1992;1;0;0;0;0;0;0;0
318;Semr·d Milan;»SSD;»SSD;1992;1;0;0;0;0;0;0;0
