X.U.FEFF.again,party1,party2,order1,order2,change,minor,loyal,improveParty,improveParty2,improvePosition,origPartyDissolved,year1,minorMajor,minorMinor,majorMajor,majorMinor
Pavol Halač,SNS,SNS,40,57,17,0,1,0,0,0,0,1998,0,0,0,1
Ján Godál,SNS,HZD,43,17,-26,0,0,0,0,1,0,1998,0,0,0,1
Jozef Lenič,SNS,SNS,44,41,-3,0,1,0,0,1,0,1998,0,0,0,1
Rastislav Bednárik,SNS,SNS,46,28,-18,0,1,0,0,1,0,1998,0,0,0,1
Vladimír Kanás,SNS,SNS,47,34,-13,0,1,0,0,1,0,1998,0,0,0,1
Juliana Brezinská,SNS,PSNS,51,22,-29,0,0,0,1,1,0,1998,0,0,0,1
Peter Lisý,SNS,SNS,56,19,-37,0,1,0,0,1,0,1998,0,0,0,1
Ivan Eibner,SNS,SNS,57,7,-50,0,1,0,0,1,0,1998,0,0,0,1
Miroslav Jánošík,SNS,PSNS,59,34,-25,0,0,0,1,1,0,1998,0,0,0,1
Marián Lukáč,SNS,SNS,60,11,-49,0,1,0,0,1,0,1998,0,0,0,1
Anton Vanko,SNS,SNS,63,39,-24,0,1,0,0,1,0,1998,0,0,0,1
Vladimír Král,SNS,SNS,68,20,-48,0,1,0,0,1,0,1998,0,0,0,1
Jozef Zábojník,SNS,SNS,70,31,-39,0,1,0,0,1,0,1998,0,0,0,1
Pavol Kapusta,SNS,SNS,72,40,-32,0,1,0,0,1,0,1998,0,0,0,1
Rastislav Staroň,SNS,SNS,75,78,3,0,1,0,0,0,0,1998,0,0,0,1
Ján Sekereš,SNS,SNS,78,48,-30,0,1,0,0,1,0,1998,0,0,0,1
Viliam Mokráň,SNS,SNS,82,150,68,0,1,0,0,0,0,1998,0,0,0,1
Jozef Dušan Bezák,SNS,SNS,89,47,-42,0,1,0,0,1,0,1998,0,0,0,1
Kamil Bartovič,SNS,PSNS,91,8,-83,0,0,0,1,1,0,1998,0,0,0,1
Štefan Paulov,SNS,SNS,117,83,-34,0,1,0,0,1,0,1998,0,0,0,1
Ivan Jároši,SNS,SNS,118,81,-37,0,1,0,0,1,0,1998,0,0,0,1
Jaroslav Božik,SNS,SNS,126,59,-67,0,1,0,0,1,0,1998,0,0,0,1
Stanislav Mican,SNS,PSNS,130,50,-80,0,0,0,1,1,0,1998,0,0,0,1
Eva Jaššová,SNS,PSNS,147,110,-37,0,0,0,1,1,0,1998,0,0,0,1
Jozefa Lobotková,SNS,PSNS,148,78,-70,0,0,0,1,1,0,1998,0,0,0,1
Eva Kotvasová,SNS,PSNS,52,32,-20,0,0,0,1,1,0,1998,0,0,0,1
Daniel Klačko,SNS,PSNS,69,57,-12,0,0,0,1,1,0,1998,0,0,0,1
Ján Slota,SNS,PSNS,1,1,0,0,0,0,1,1,0,1998,0,0,1,0
Anna Malíková,SNS,SNS,2,1,-1,0,1,0,0,1,0,1998,0,0,1,0
Melánia Kolláriková,SNS,PSNS,10,4,-6,0,0,0,1,1,0,1998,0,0,1,0
Pavol Hamžík,SOP,SDĽ,2,6,4,0,0,0,1,0,1,1998,0,0,0,1
Marián Mesiarik,SOP,SDĽ,4,24,20,0,0,0,1,0,1,1998,0,0,0,1
Peter Kresák,SOP,SDA,10,9,-1,0,0,0,1,1,1,1998,0,0,0,1
Diana Dubovská,SOP,HZDS,13,33,20,0,0,1,1,0,1,1998,0,0,1,0
Ivan Budiak,SOP,SDĽ,16,16,0,0,0,0,1,1,1,1998,0,0,0,1
Milan Gášek,SOP,SDĽ,48,47,-1,0,0,0,1,1,1,1998,0,0,0,1
Ján Marinič,SOP,ANO,63,61,-2,0,0,1,1,1,1,1998,0,0,1,0
Ladislav Setnický,SOP,SDĽ,70,79,9,0,0,0,1,0,1,1998,0,0,0,1
Igor Kozák,SOP,ANO,79,30,-49,0,0,1,1,1,1,1998,0,0,1,0
Dušan Drozda,SOP,SDĽ,83,40,-43,0,0,0,1,1,1,1998,0,0,0,1
Jozef Škultéty,SOP,SDĽ,92,31,-61,0,0,0,1,1,1,1998,0,0,0,1
Imrich Sládeček,SOP,SNS,96,10,-86,0,0,0,1,1,1,1998,0,0,0,1
Miroslav Kováč,SOP,ANO,99,67,-32,0,0,1,1,1,1,1998,0,0,1,0
Andrej Mokriš,SOP,SDĽ,108,120,12,0,0,0,1,0,1,1998,0,0,0,1
Milan Aberštik,SOP,SDĽ,115,149,34,0,0,0,1,0,1,1998,0,0,0,1
Emil Potočník,SOP,ANO,127,31,-96,0,0,1,1,1,1,1998,0,0,1,0
Jozef Mažári,SOP,SNS,128,30,-98,0,0,0,1,1,1,1998,0,0,0,1
Peter Zorvan,SOP,SDĽ,136,111,-25,0,0,0,1,1,1,1998,0,0,0,1
Ladislav Hromada,SOP,SDĽ,62,72,10,0,0,0,1,0,1,1998,0,0,1,0
Ján Ľupták,ZRS,ZRS,1,1,0,1,1,0,0,1,0,1998,0,1,0,0
Štefan Ösze,ZRS,ROSA,16,4,-12,1,0,0,0,1,0,1998,0,1,0,0
Jozef Bača,ZRS,ZRS,18,52,34,1,1,0,0,0,0,1998,0,1,0,0
Pavel Švec,ZRS,ĽB,21,21,0,1,0,0,0,1,0,1998,0,1,0,0
Milan Trník,ZRS,ZRS,25,2,-23,1,1,0,0,1,0,1998,0,1,0,0
Mária Hrušková,ZRS,ZRS,28,7,-21,1,1,0,0,1,0,1998,0,1,0,0
Alojz Španihel,ZRS,ĽB,32,38,6,1,0,0,0,0,0,1998,0,1,0,0
Anna Ždánska,ZRS,ZRS,33,44,11,1,1,0,0,0,0,1998,0,1,0,0
Rastislav Bašista,ZRS,ZRS,72,12,-60,1,1,0,0,1,0,1998,0,1,0,0
Dušan Gréger,ZRS,ĽB,76,4,-72,1,0,0,0,1,0,1998,0,1,0,0
Bartolomej Sisák,ZRS,ZRS,80,3,-77,1,1,0,0,1,0,1998,0,1,0,0
Karol Mikloš,ZRS,ĽB,87,75,-12,1,0,0,0,1,0,1998,0,1,0,0
Emília Krotáková,ZRS,ĽB,93,30,-63,1,0,0,0,1,0,1998,0,1,0,0
Vladimír Hodrušský,ZRS,ZRS,102,6,-96,1,1,0,0,1,0,1998,0,1,0,0
Jozef Jakubík,ZRS,ĽB,104,145,41,1,0,0,0,0,0,1998,0,1,0,0
Jozef Čičvák,ZRS,ĽB,17,31,14,1,0,0,0,0,0,1998,0,1,0,0
Jozef Tarkanič,ZRS,SMER,44,69,25,1,0,1,1,0,0,1998,1,0,0,0
Jozef Parec,ZRS,SMER,73,110,37,1,0,1,1,0,0,1998,1,0,0,0
Eva Černá,ANO,ANO,4,1,-3,0,1,0,0,1,0,2002,0,0,0,1
Rudolf Zajac,ANO,OKS,8,9,1,0,0,0,0,0,0,2002,0,0,0,1
František Tóth,ANO,NÁDEJ,12,30,18,0,0,0,0,0,0,2002,0,0,0,1
Branislav Opaterný,ANO,SF,15,7,-8,0,0,0,1,1,0,2002,0,0,0,1
Emil Potočník,ANO,ANO,31,12,-19,0,1,0,0,1,0,2002,0,0,0,1
Miroslav Aschengeschvantner,ANO,ANO,35,22,-13,0,1,0,0,1,0,2002,0,0,0,1
Igor Šipula,ANO,ANO,42,56,14,0,1,0,0,0,0,2002,0,0,0,1
Jaroslav Pástor,ANO,PS,46,48,2,0,0,0,0,0,0,2002,0,0,0,1
Tibor Sklut,ANO,ANO,50,39,-11,0,1,0,0,1,0,2002,0,0,0,1
Juraj Kisely,ANO,ANO,51,57,6,0,1,0,0,0,0,2002,0,0,0,1
Pavel Derkay,ANO,ANO,56,18,-38,0,1,0,0,1,0,2002,0,0,0,1
Peter Hurtík,ANO,SF,58,30,-28,0,0,0,1,1,0,2002,0,0,0,1
Vladimír Cahajla,ANO,ANO,69,30,-39,0,1,0,0,1,0,2002,0,0,0,1
Michal Jalčovík,ANO,ANO,70,48,-22,0,1,0,0,1,0,2002,0,0,0,1
Katarína Katonová,ANO,ANO,83,74,-9,0,1,0,0,1,0,2002,0,0,0,1
Vojtech Bodnár,ANO,ANO,86,14,-72,0,1,0,0,1,0,2002,0,0,0,1
Miloslav Kobulda,ANO,ANO,89,58,-31,0,1,0,0,1,0,2002,0,0,0,1
Renáta Zichová,ANO,NÁDEJ,92,10,-82,0,0,0,0,1,0,2002,0,0,0,1
Peter Mazúr,ANO,ANO,103,20,-83,0,1,0,0,1,0,2002,0,0,0,1
Milan Klenko,ANO,ANO,114,101,-13,0,1,0,0,1,0,2002,0,0,0,1
Július Zentko,ANO,ANO,115,142,27,0,1,0,0,0,0,2002,0,0,0,1
Ján Luhový,ANO,ANO,127,75,-52,0,1,0,0,1,0,2002,0,0,0,1
Pavol Rusko,ANO,ANO,1,4,3,0,1,0,0,0,0,2002,0,0,0,1
Beáta Brestenská,ANO,ANO,14,5,-9,0,1,0,0,1,0,2002,0,0,0,1
Anna Benková,ANO,PS,27,23,-4,0,0,0,0,1,0,2002,0,0,0,1
Vlastimil Ondrejka,ANO,ANO,38,8,-30,0,1,0,0,1,0,2002,0,0,0,1
Peter Šťastný,ANO,ANO,49,17,-32,0,1,0,0,1,0,2002,0,0,0,1
František Kán,ANO,NÁDEJ,55,12,-43,0,0,0,0,1,0,2002,0,0,0,1
Ľubomír Fábik,ANO,ANO,82,21,-61,0,1,0,0,1,0,2002,0,0,0,1
Pavol Valúch,ANO,ANO,112,23,-89,0,1,0,0,1,0,2002,0,0,0,1
Ivan Mačura,ANO,ANO,129,40,-89,0,1,0,0,1,0,2002,0,0,0,1
Vladimír Vranovič,HZD,HZD,6,52,46,1,1,0,0,0,0,2002,0,1,0,0
Dušan Smatana,HZD,SF,10,34,24,1,0,1,1,0,0,2002,0,1,0,0
Gerd Sabo,HZD,HZD,16,30,14,1,1,0,0,0,0,2002,0,1,0,0
Ivan Šaško,HZD,SNS,18,9,-9,1,0,1,1,1,0,2002,0,1,0,0
Peter Marček,HZD,HZD,40,9,-31,1,1,0,0,1,0,2002,0,1,0,0
Dušan Karaba,HZD,HZD,41,69,28,1,1,0,0,0,0,2002,0,1,0,0
Marta Aibeková,HZD,HZD,3,4,1,1,1,0,0,0,0,2002,0,1,0,0
Jozef Grapa,HZD,HZD,7,2,-5,1,1,0,0,1,0,2002,0,1,0,0
Ján Chromek,HZD,HZD,19,25,6,1,1,0,0,0,0,2002,0,1,0,0
Mikuláš Hašan,HZD,HZD,24,36,12,1,1,0,0,0,0,2002,0,1,0,0
Mojmír Mamojka,HZD,SMER,2,45,43,1,0,1,1,0,0,2002,1,0,0,0
Rudolf Žiak,HZDS,HZD,4,3,-1,0,0,0,0,1,0,2002,0,0,0,1
Ján Mikolaj,HZDS,SNS,6,6,0,0,0,0,1,1,0,2002,0,0,1,0
Tibor Mikuš,HZDS,ĽS-HZDS,8,10,2,0,1,0,0,0,0,2002,0,0,1,0
Ľudmila Mušková,HZDS,ĽS-HZDS,13,13,0,0,1,0,0,1,0,2002,0,0,1,0
Anton Blajsko,HZDS,ĽS-HZDS,14,24,10,0,1,0,0,0,0,2002,0,0,1,0
Igor Pinkava,HZDS,HZD,19,8,-11,0,0,0,0,1,0,2002,0,0,0,1
Tibor Cabaj,HZDS,ĽS-HZDS,20,15,-5,0,1,0,0,1,0,2002,0,0,1,0
Miroslav Maxon,HZDS,HZD,26,1,-25,0,0,0,0,1,0,2002,0,0,0,1
Dušan Jarjabek,HZDS,SMER,32,28,-4,0,0,1,1,1,0,2002,0,0,1,0
Dana Podracká,HZDS,ĽS-HZDS,35,21,-14,0,1,0,0,1,0,2002,0,0,1,0
Vladimír Pavelka,HZDS,ĽS-HZDS,37,26,-11,0,1,0,0,1,0,2002,0,0,1,0
Jozef Božik,HZDS,ĽS-HZDS,43,29,-14,0,1,0,0,1,0,2002,0,0,1,0
Ján Dlhopolček,HZDS,ĽS-HZDS,45,35,-10,0,1,0,0,1,0,2002,0,0,1,0
Beata Sániová,HZDS,ĽS-HZDS,51,2,-49,0,1,0,0,1,0,2002,0,0,1,0
Miroslav Jureňa,HZDS,ĽS-HZDS,54,12,-42,0,1,0,0,1,0,2002,0,0,1,0
Ján Bodnár,HZDS,ĽS-HZDS,56,17,-39,0,1,0,0,1,0,2002,0,0,1,0
Štefan Pucko,HZDS,ĽS-HZDS,61,79,18,0,1,0,0,0,0,2002,0,0,1,0
Janka Gantnerová,HZDS,ĽS-HZDS,63,46,-17,0,1,0,0,1,0,2002,0,0,1,0
Peter Hudák,HZDS,ĽS-HZDS,70,28,-42,0,1,0,0,1,0,2002,0,0,1,0
Pavol Kačic,HZDS,ĽS-HZDS,74,31,-43,0,1,0,0,1,0,2002,0,0,1,0
Július Höffer,HZDS,ĽS-HZDS,76,16,-60,0,1,0,0,1,0,2002,0,0,1,0
Alojz Engliš,HZDS,ĽS-HZDS,90,22,-68,0,1,0,0,1,0,2002,0,0,1,0
Milan Staňo,HZDS,ĽS-HZDS,91,37,-54,0,1,0,0,1,0,2002,0,0,1,0
Jozef Vierik,HZDS,ĽS-HZDS,110,115,5,0,1,0,0,0,0,2002,0,0,1,0
Anna Hoštáková,HZDS,ĽS-HZDS,114,64,-50,0,1,0,0,1,0,2002,0,0,1,0
Peter Bulík,HZDS,ĽS-HZDS,121,39,-82,0,1,0,0,1,0,2002,0,0,1,0
Eva Hejduková,HZDS,ĽS-HZDS,137,111,-26,0,1,0,0,1,0,2002,0,0,1,0
Vladimír Mečiar,HZDS,ĽS-HZDS,1,1,0,0,1,0,0,1,0,2002,0,0,1,0
Viliam Veteška,HZDS,ĽS-HZDS,10,4,-6,0,1,0,0,1,0,2002,0,0,1,0
Ján Kovarčík,HZDS,ĽS-HZDS,11,7,-4,0,1,0,0,1,0,2002,0,0,1,0
Milan Rehák,HZDS,ĽS-HZDS,18,3,-15,0,1,0,0,1,0,2002,0,0,1,0
Jaroslav Jaduš,HZDS,ĽS-HZDS,28,19,-9,0,1,0,0,1,0,2002,0,0,1,0
Milan Urbáni,HZDS,ĽS-HZDS,29,8,-21,0,1,0,0,1,0,2002,0,0,1,0
Jana Štefanková,HZDS,ĽS-HZDS,38,27,-11,0,1,0,0,1,0,2002,0,0,1,0
Dagmar Gasperová,HZDS,ĽS-HZDS,39,18,-21,0,1,0,0,1,0,2002,0,0,1,0
Ľuboš Lackovič,HZDS,ĽS-HZDS,50,25,-25,0,1,0,0,1,0,2002,0,0,1,0
Jozef Halecký,HZDS,ĽS-HZDS,68,6,-62,0,1,0,0,1,0,2002,0,0,1,0
Alexander Patkoló,HZDS,HZD,75,150,75,0,0,0,0,0,0,2002,0,0,0,1
Ján Šimko,HZDS,ĽS-HZDS,81,60,-21,0,1,0,0,1,0,2002,0,0,1,0
Štefan Horváth,HZDS,HZD,142,15,-127,0,0,0,0,1,0,2002,0,0,0,1
Peter Regina,HZDS,ĽS-HZDS,144,122,-22,0,1,0,0,1,0,2002,0,0,1,0
Pavol Hrušovský,KDH,KDH,1,1,0,0,1,1,0,1,0,2002,0,0,1,0
Vladimír Palko,KDH,KDH,3,2,-1,0,1,1,0,1,0,2002,0,0,1,0
Július Brocka,KDH,KDH,5,4,-1,0,1,1,0,1,0,2002,0,0,1,0
František Mikloško,KDH,KDH,7,8,1,0,1,1,0,0,0,2002,0,0,1,0
Mária Demeterová,KDH,KDH,14,16,2,0,1,1,0,0,0,2002,0,0,1,0
Alojz Přidal,KDH,KDH,15,11,-4,0,1,1,0,1,0,2002,0,0,1,0
Jozef Miklušičák,KDH,KDH,16,13,-3,0,1,1,0,1,0,2002,0,0,1,0
Jana Brázdilová,KDH,KDH,25,62,37,0,1,1,0,0,0,2002,0,0,1,0
Pavol Tarcala,KDH,KDH,31,18,-13,0,1,1,0,1,0,2002,0,0,1,0
Ján Kapala,KDH,KDH,34,28,-6,0,1,1,0,1,0,2002,0,0,1,0
Dušan Mihálik,KDH,KDH,38,58,20,0,1,1,0,0,0,2002,0,0,1,0
Peter Belica,KDH,KDH,42,92,50,0,1,1,0,0,0,2002,0,0,1,0
Ferdinand Galko,KDH,KDH,43,73,30,0,1,1,0,0,0,2002,0,0,1,0
Jozef Hladík,KDH,KDH,44,29,-15,0,1,1,0,1,0,2002,0,0,1,0
Cyril Korpesio,KDH,KDH,49,122,73,0,1,1,0,0,0,2002,0,0,1,0
Jaromír Janiš,KDH,KDH,51,56,5,0,1,1,0,0,0,2002,0,0,1,0
Eleonóra Porubcová,KDH,KDH,53,34,-19,0,1,1,0,1,0,2002,0,0,1,0
Mária Homolová,KDH,KDH,60,82,22,0,1,1,0,0,0,2002,0,0,1,0
Juraj Andrejuv,KDH,KDH,63,83,20,0,1,1,0,0,0,2002,0,0,1,0
Monika Gibalová,KDH,KDH,65,33,-32,0,1,1,0,1,0,2002,0,0,1,0
Marián Železník,KDH,KDH,81,69,-12,0,1,1,0,1,0,2002,0,0,1,0
Jozef Harvančík,KDH,KDH,83,63,-20,0,1,1,0,1,0,2002,0,0,1,0
Peter Stanko,KDH,KDH,94,93,-1,0,1,1,0,1,0,2002,0,0,1,0
Marián Babej,KDH,KDH,114,78,-36,0,1,1,0,1,0,2002,0,0,1,0
Mária Bačikovská,KDH,KDH,117,100,-17,0,1,1,0,1,0,2002,0,0,1,0
Marcel Gallik,KDH,KDH,122,64,-58,0,1,1,0,1,0,2002,0,0,1,0
Pavol Sekáč,KDH,KDH,133,145,12,0,1,1,0,0,0,2002,0,0,1,0
Peter Štuller,KDH,KDH,137,118,-19,0,1,1,0,1,0,2002,0,0,1,0
Pavol Minárik,KDH,KDH,4,7,3,0,1,1,0,0,0,2002,0,0,1,0
Daniel Lipšic,KDH,KDH,6,3,-3,0,1,1,0,1,0,2002,0,0,1,0
Martin Fronc,KDH,KDH,8,5,-3,0,1,1,0,1,0,2002,0,0,1,0
Peter Muránsky,KDH,KDH,10,12,2,0,1,1,0,0,0,2002,0,0,1,0
Pavol Abrhan,KDH,KDH,11,10,-1,0,1,1,0,1,0,2002,0,0,1,0
Jozef Šimko,KDH,KDH,12,9,-3,0,1,1,0,1,0,2002,0,0,1,0
Mária Sabolová,KDH,KDH,17,19,2,0,1,1,0,0,0,2002,0,0,1,0
Mária Majdová,KDH,KDH,19,17,-2,0,1,1,0,1,0,2002,0,0,1,0
Michal Bartoš,KDH,KDH,22,14,-8,0,1,1,0,1,0,2002,0,0,1,0
Jaroslav Ivan,KDH,KDH,23,25,2,0,1,1,0,0,0,2002,0,0,1,0
Ján Ondrejka,KDH,KDH,26,20,-6,0,1,1,0,1,0,2002,0,0,1,0
Katarína Smiešková,KDH,KDH,28,32,4,0,1,1,0,0,0,2002,0,0,1,0
Ján Václavik,KDH,KDH,36,53,17,0,1,1,0,0,0,2002,0,0,1,0
Ján Vojtko,KDH,KDH,41,46,5,0,1,1,0,0,0,2002,0,0,1,0
Stanislav Kahanec,KDH,KDH,45,22,-23,0,1,1,0,1,0,2002,0,0,1,0
Ján Porubský,KDH,KDH,50,21,-29,0,1,1,0,1,0,2002,0,0,1,0
Pavol Ružanský,KDH,KDH,56,44,-12,0,1,1,0,1,0,2002,0,0,1,0
Anton Hrica,KDH,KDH,57,98,41,0,1,1,0,0,0,2002,0,0,1,0
Ľubomír Šteiniger,KDH,KDH,61,40,-21,0,1,1,0,1,0,2002,0,0,1,0
Rudolf Jánošík,KDH,KDH,62,66,4,0,1,1,0,0,0,2002,0,0,1,0
Ján Morovič,KDH,KDH,64,138,74,0,1,1,0,0,0,2002,0,0,1,0
Pavol Gurega,KDH,KDH,79,30,-49,0,1,1,0,1,0,2002,0,0,1,0
Ján Kadlec,KDH,KDH,84,81,-3,0,1,1,0,1,0,2002,0,0,1,0
Július Stanko,KDH,KDH,85,109,24,0,1,1,0,0,0,2002,0,0,1,0
Peter Polák,KDH,SDKÚ-DS,86,76,-10,0,0,1,1,1,0,2002,0,0,1,0
Ján Dzurjuv,KDH,KDH,92,76,-16,0,1,1,0,1,0,2002,0,0,1,0
Ján Čop,KDH,KDH,102,85,-17,0,1,1,0,1,0,2002,0,0,1,0
Jozef Závodský,KDH,KDH,112,113,1,0,1,1,0,0,0,2002,0,0,1,0
Pavol Oparty,KDH,KDH,130,112,-18,0,1,1,0,1,0,2002,0,0,1,0
Anna Holtmanová,KDH,KDH,136,114,-22,0,1,1,0,1,0,2002,0,0,1,0
Štefan Ondáš,KDH,KDH,149,101,-48,0,1,1,0,1,0,2002,0,0,1,0
Jozef Ševc,KSS,KSS,1,1,0,0,1,0,0,1,0,2002,0,0,0,1
Michal Vajda,KSS,KSS,4,31,27,0,1,0,0,0,0,2002,0,0,0,1
Karol Ondriaš,KSS,KSS,5,3,-2,0,1,0,0,1,0,2002,0,0,0,1
Mikuláš Juščík,KSS,KSS,9,5,-4,0,1,0,0,1,0,2002,0,0,0,1
Samuel Zubo,KSS,KSS,10,4,-6,0,1,0,0,1,0,2002,0,0,0,1
Karol Fajnor,KSS,KSS,11,150,139,0,1,0,0,0,0,2002,0,0,0,1
Dušan Saksa,KSS,ZRS,12,14,2,0,0,0,0,0,0,2002,0,0,0,1
Štefan Tatranský,KSS,KSS,18,55,37,0,1,0,0,0,0,2002,0,0,0,1
Milan Bencúr,KSS,KSS,22,90,68,0,1,0,0,0,0,2002,0,0,0,1
Jozef Bošanský,KSS,KSS,23,26,3,0,1,0,0,0,0,2002,0,0,0,1
Ján Janočko,KSS,KSS,24,13,-11,0,1,0,0,1,0,2002,0,0,0,1
Jozef Fuček,KSS,KSS,26,8,-18,0,1,0,0,1,0,2002,0,0,0,1
Juraj Obert,KSS,KSS,29,17,-12,0,1,0,0,1,0,2002,0,0,0,1
Albert Albert,KSS,KSS,32,16,-16,0,1,0,0,1,0,2002,0,0,0,1
Miroslav Samiec,KSS,KSS,33,25,-8,0,1,0,0,1,0,2002,0,0,0,1
Ján Hamar,KSS,KSS,44,45,1,0,1,0,0,0,0,2002,0,0,0,1
Ján Ševc,KSS,KSS,45,21,-24,0,1,0,0,1,0,2002,0,0,0,1
Milan Katuščák,KSS,KSS,47,97,50,0,1,0,0,0,0,2002,0,0,0,1
Ivan Múdry,KSS,KSS,52,18,-34,0,1,0,0,1,0,2002,0,0,0,1
Jozef Balla,KSS,KSS,53,84,31,0,1,0,0,0,0,2002,0,0,0,1
Ján Mikloš,KSS,KSS,82,119,37,0,1,0,0,0,0,2002,0,0,0,1
Anton Matejko,KSS,KSS,84,111,27,0,1,0,0,0,0,2002,0,0,0,1
Milan Šebeň,KSS,KSS,86,44,-42,0,1,0,0,1,0,2002,0,0,0,1
Emil Ďurovič,KSS,KSS,89,79,-10,0,1,0,0,1,0,2002,0,0,0,1
Fedor Šandor,KSS,ZRS,101,27,-74,0,0,0,0,1,0,2002,0,0,0,1
Pavel Chovanec,KSS,ZRS,104,7,-97,0,0,0,0,1,0,2002,0,0,0,1
Vendelín Paniak,KSS,KSS,112,115,3,0,1,0,0,0,0,2002,0,0,0,1
Andrej Tudor,KSS,KSS,116,30,-86,0,1,0,0,1,0,2002,0,0,0,1
Vasiľ Grundza,KSS,KSS,119,126,7,0,1,0,0,0,0,2002,0,0,0,1
Eva Vaváková,KSS,KSS,140,20,-120,0,1,0,0,1,0,2002,0,0,0,1
Ľubica Kleniarová,KSS,KSS,141,35,-106,0,1,0,0,1,0,2002,0,0,0,1
Anton Badač,KSS,KSS,143,53,-90,0,1,0,0,1,0,2002,0,0,0,1
Miloslava Necpalová,KSS,ZRS,150,11,-139,0,0,0,0,1,0,2002,0,0,0,1
Ivan Hopta,KSS,ZRS,2,2,0,0,0,0,0,1,0,2002,0,0,1,0
Vladimír Ďaďo,KSS,KSS,3,7,4,0,1,0,0,0,0,2002,0,0,1,0
Jozef Hrdlička,KSS,KSS,6,2,-4,0,1,0,0,1,0,2002,0,0,1,0
Jozef Šiška,KSS,KSS,14,9,-5,0,1,0,0,1,0,2002,0,0,1,0
Štefan Borovský,KSS,KSS,43,27,-16,0,1,0,0,1,0,2002,0,0,1,0
Viliam Fraňo,KSS,KSS,54,73,19,0,1,0,0,0,0,2002,0,0,1,0
Peter Jakubčák,KSS,KSS,64,62,-2,0,1,0,0,1,0,2002,0,0,1,0
Ján Karman,KSS,KSS,66,147,81,0,1,0,0,0,0,2002,0,0,1,0
Ján Kudla,KSS,KSS,70,102,32,0,1,0,0,0,0,2002,0,0,1,0
Štefan Straka,KSS,KSS,72,40,-32,0,1,0,0,1,0,2002,0,0,1,0
Miroslav Molík,KSS,KSS,120,56,-64,0,1,0,0,1,0,2002,0,0,1,0
Pavol Tausk,KSS,KSS,122,71,-51,0,1,0,0,1,0,2002,0,0,1,0
Jozef Kalman,ĽB,ĽB,1,1,0,1,1,1,0,1,0,2002,0,1,0,0
Oliver Petrík,ĽB,ĽB,3,4,1,1,1,1,0,0,0,2002,0,1,0,0
Dušan Bánovský,ĽB,ĽB,9,27,18,1,1,1,0,0,0,2002,0,1,0,0
Jozef Kľuska,ĽB,ĽB,17,20,3,1,1,1,0,0,0,2002,0,1,0,0
Anežka Poradová,ĽB,ĽB,20,6,-14,1,1,1,0,1,0,2002,0,1,0,0
Pavel Švec,ĽB,ĽB,21,50,29,1,1,1,0,0,0,2002,0,1,0,0
Emília Krotáková,ĽB,ĽB,30,2,-28,1,1,1,0,1,0,2002,0,1,0,0
Ján Ulický,ĽB,ĽB,80,16,-64,1,1,1,0,1,0,2002,0,1,0,0
Ingrid Sovišová,ĽB,ĽB,85,46,-39,1,1,1,0,1,0,2002,0,1,0,0
Jozef Hajtmánek,ĽB,ĽB,107,33,-74,1,1,1,0,1,0,2002,0,1,0,0
Emil Kučerák,ĽB,ĽB,137,47,-90,1,1,1,0,1,0,2002,0,1,0,0
Oldřich Havlík,ĽB,ĽB,19,37,18,1,1,0,0,0,0,2002,0,1,0,0
Danica Zimová,ĽB,ĽB,40,28,-12,1,1,0,0,1,0,2002,0,1,0,0
Michal Antaš,ĽB,ĽB,111,12,-99,1,1,0,0,1,0,2002,0,1,0,0
Ján Koštrna,ĽB,HZD,129,63,-66,1,0,1,1,1,0,2002,0,1,0,0
Vincent Ondrejko,ĽB,ĽB,54,39,-15,1,1,0,0,1,0,2002,0,1,0,0
Dušan Gréger,ĽB,ĽS-HZDS,4,118,114,1,0,1,1,0,0,2002,1,0,0,0
Ján Garai,NOSNP,ĽB,1,8,7,1,0,0,1,0,1,2002,0,1,0,0
Ernest Kováč,NOSNP,ĽB,21,21,0,1,0,0,1,1,1,2002,0,1,0,0
František Šebej,OKS,OKS,2,3,1,1,1,0,0,0,0,2002,0,1,0,0
Peter Osuský,OKS,OKS,3,2,-1,1,1,0,0,1,0,2002,0,1,0,0
Katarína Adamicová,OKS,OKS,4,6,2,1,1,0,0,0,0,2002,0,1,0,0
Ondrej Dostál,OKS,OKS,5,5,0,1,1,0,0,1,0,2002,0,1,0,0
Tibor Takáč,OKS,OKS,8,10,2,1,1,0,0,0,0,2002,0,1,0,0
Radovan Kazda,OKS,OKS,10,17,7,1,1,0,0,0,0,2002,0,1,0,0
Peter Kalmár,OKS,OKS,12,45,33,1,1,0,0,0,0,2002,0,1,0,0
Miloš Ševec,OKS,OKS,14,25,11,1,1,0,0,0,0,2002,0,1,0,0
Miroslav Timár,OKS,OKS,15,23,8,1,1,0,0,0,0,2002,0,1,0,0
Svetozár Gavora,OKS,OKS,17,14,-3,1,1,0,0,1,0,2002,0,1,0,0
Jozef Kováč,OKS,OKS,22,33,11,1,1,0,0,0,0,2002,0,1,0,0
Štefan Tomáš,OKS,OKS,23,31,8,1,1,0,0,0,0,2002,0,1,0,0
Marián Beták,OKS,OKS,26,43,17,1,1,0,0,0,0,2002,0,1,0,0
Dušan Sloboda,OKS,OKS,27,16,-11,1,1,0,0,1,0,2002,0,1,0,0
Vladislav Janiš,OKS,OKS,30,57,27,1,1,0,0,0,0,2002,0,1,0,0
